year,euphoric,happy,midrange,sad,depressive
1990,0.298969072164948,0.237113402061856,0.175257731958763,0.22680412371134,0.0618556701030928
1991,0.276595744680851,0.287234042553192,0.191489361702128,0.191489361702128,0.0531914893617021
1992,0.206185567010309,0.298969072164948,0.164948453608247,0.257731958762887,0.0721649484536082
1993,0.148936170212766,0.287234042553192,0.319148936170213,0.138297872340426,0.106382978723404
1994,0.181818181818182,0.242424242424242,0.242424242424242,0.232323232323232,0.101010101010101
1995,0.152173913043478,0.304347826086957,0.282608695652174,0.228260869565217,0.0326086956521739
1996,0.255102040816327,0.275510204081633,0.193877551020408,0.204081632653061,0.0714285714285714
1997,0.206185567010309,0.278350515463918,0.154639175257732,0.247422680412371,0.11340206185567
1998,0.157894736842105,0.326315789473684,0.221052631578947,0.221052631578947,0.0736842105263158
1999,0.181818181818182,0.222222222222222,0.292929292929293,0.242424242424242,0.0606060606060606
2000,0.239583333333333,0.333333333333333,0.197916666666667,0.1875,0.0416666666666667
2001,0.163265306122449,0.438775510204082,0.153061224489796,0.193877551020408,0.0510204081632653
2002,0.275510204081633,0.214285714285714,0.26530612244898,0.163265306122449,0.0816326530612245
2003,0.272727272727273,0.242424242424242,0.303030303030303,0.131313131313131,0.0505050505050505
2004,0.19,0.31,0.29,0.13,0.08
2005,0.13265306122449,0.244897959183673,0.357142857142857,0.183673469387755,0.0816326530612245
2006,0.1,0.32,0.34,0.18,0.06
2007,0.183673469387755,0.295918367346939,0.26530612244898,0.204081632653061,0.0510204081632653
2008,0.114583333333333,0.260416666666667,0.3125,0.229166666666667,0.0833333333333333
2009,0.112244897959184,0.295918367346939,0.306122448979592,0.204081632653061,0.0816326530612245
2010,0.144329896907216,0.350515463917526,0.247422680412371,0.185567010309278,0.0721649484536082
2011,0.0808080808080808,0.363636363636364,0.262626262626263,0.242424242424242,0.0505050505050505
2012,0.131313131313131,0.363636363636364,0.232323232323232,0.242424242424242,0.0303030303030303
2013,0.142857142857143,0.204081632653061,0.316326530612245,0.275510204081633,0.0612244897959184
2014,0.142857142857143,0.255102040816327,0.255102040816327,0.244897959183673,0.102040816326531
2015,0.115789473684211,0.178947368421053,0.305263157894737,0.252631578947368,0.147368421052632
2016,0.0408163265306122,0.193877551020408,0.316326530612245,0.387755102040816,0.0612244897959184
